INSERT INTO Education VALUES('1', 'HSC', 'Science', 'DMC', '2009');
INSERT INTO Education VALUES('351', 'Bachelors', 'Commerce', 'SUST', '2002');
INSERT INTO Education VALUES('352', 'SSC', 'MBBS', 'DU', '2002');
INSERT INTO Education VALUES('353', 'Bachelors', 'Commerce', 'KUET', '1993');
INSERT INTO Education VALUES('354', 'Others', 'Commerce', 'RUET', '1991');
INSERT INTO Education VALUES('355', 'Bachelors', 'Arts', 'SUST', '1995');
INSERT INTO Education VALUES('356', 'SSC', 'Engineering', 'CUET', '1990');
INSERT INTO Education VALUES('357', 'Others', 'Commerce', 'RUET', '1999');
INSERT INTO Education VALUES('358', 'Ph.D.', 'Science', 'SUST', '1992');
INSERT INTO Education VALUES('359', 'Ph.D.', 'Science', 'SUST', '1990');
INSERT INTO Education VALUES('360', 'Others', 'MBBS', 'CUET', '1989');
INSERT INTO Education VALUES('361', 'HSC', 'MBBS', 'DU', '2008');
INSERT INTO Education VALUES('362', 'Others', 'Arts', 'BUET', '1992');
INSERT INTO Education VALUES('363', 'SSC', 'MBBS', 'DMC', '2004');
INSERT INTO Education VALUES('364', 'Ph.D.', 'Engineering', 'DU', '1986');
INSERT INTO Education VALUES('365', 'Others', 'MBBS', 'RUET', '1991');
INSERT INTO Education VALUES('366', 'Masters', 'Arts', 'BUET', '1985');
INSERT INTO Education VALUES('367', 'Others', 'Science', 'CUET', '1987');
INSERT INTO Education VALUES('368', 'Others', 'MBBS', 'DMC', '1985');
INSERT INTO Education VALUES('369', 'Bachelors', 'Commerce', 'DMC', '1987');
INSERT INTO Education VALUES('370', 'SSC', 'Commerce', 'KUET', '1996');
INSERT INTO Education VALUES('371', 'Ph.D.', 'Commerce', 'BUET', '2006');
INSERT INTO Education VALUES('372', 'Bachelors', 'Science', 'DMC', '1989');
INSERT INTO Education VALUES('373', 'SSC', 'MBBS', 'DU', '1996');
INSERT INTO Education VALUES('374', 'Others', 'Commerce', 'BUET', '2005');
INSERT INTO Education VALUES('375', 'Ph.D.', 'MBBS', 'DU', '2002');
INSERT INTO Education VALUES('376', 'Others', 'MBBS', 'RUET', '1990');
INSERT INTO Education VALUES('377', 'SSC', 'Arts', 'RUET', '1994');
INSERT INTO Education VALUES('378', 'HSC', 'Arts', 'DU', '1987');
INSERT INTO Education VALUES('379', 'Others', 'Engineering', 'BUET', '1989');
INSERT INTO Education VALUES('380', 'Masters', 'Engineering', 'BUET', '1990');
INSERT INTO Education VALUES('381', 'Others', 'Arts', 'KUET', '2000');
INSERT INTO Education VALUES('382', 'Masters', 'Commerce', 'CUET', '1989');
INSERT INTO Education VALUES('383', 'Others', 'Commerce', 'KUET', '2000');
INSERT INTO Education VALUES('384', 'Masters', 'Engineering', 'SUST', '2000');
INSERT INTO Education VALUES('385', 'Bachelors', 'Arts', 'KUET', '2001');
INSERT INTO Education VALUES('386', 'HSC', 'Commerce', 'SUST', '1994');
INSERT INTO Education VALUES('387', 'Others', 'MBBS', 'KUET', '2007');
INSERT INTO Education VALUES('388', 'Bachelors', 'MBBS', 'RUET', '1994');
INSERT INTO Education VALUES('389', 'Others', 'MBBS', 'SUST', '1990');
INSERT INTO Education VALUES('390', 'SSC', 'Arts', 'RUET', '2003');
INSERT INTO Education VALUES('391', 'Ph.D.', 'Science', 'RUET', '2000');
INSERT INTO Education VALUES('392', 'Bachelors', 'MBBS', 'BUET', '2000');
INSERT INTO Education VALUES('393', 'Bachelors', 'MBBS', 'SUST', '2008');
INSERT INTO Education VALUES('394', 'HSC', 'Arts', 'DMC', '2007');
INSERT INTO Education VALUES('395', 'HSC', 'Commerce', 'BUET', '1997');
INSERT INTO Education VALUES('396', 'HSC', 'Arts', 'BUET', '1996');
INSERT INTO Education VALUES('397', 'SSC', 'Commerce', 'BUET', '1987');
INSERT INTO Education VALUES('398', 'Ph.D.', 'Commerce', 'RUET', '1995');
INSERT INTO Education VALUES('399', 'Masters', 'Commerce', 'CUET', '2010');
INSERT INTO Education VALUES('400', 'Masters', 'Commerce', 'DU', '2001');
INSERT INTO Education VALUES('401', 'SSC', 'Arts', 'KUET', '2010');
INSERT INTO Education VALUES('402', 'Masters', 'Engineering', 'KUET', '2004');
INSERT INTO Education VALUES('403', 'HSC', 'Engineering', 'RUET', '1994');
INSERT INTO Education VALUES('404', 'Ph.D.', 'Engineering', 'RUET', '1985');
INSERT INTO Education VALUES('405', 'HSC', 'Science', 'CUET', '1986');
INSERT INTO Education VALUES('406', 'HSC', 'Science', 'BUET', '1993');
INSERT INTO Education VALUES('407', 'Others', 'Science', 'DU', '1998');
INSERT INTO Education VALUES('408', 'Masters', 'Commerce', 'DU', '1996');
INSERT INTO Education VALUES('409', 'SSC', 'Commerce', 'DU', '1985');
INSERT INTO Education VALUES('410', 'Masters', 'Commerce', 'DU', '1988');
INSERT INTO Education VALUES('411', 'SSC', 'Commerce', 'DU', '1985');
INSERT INTO Education VALUES('412', 'Masters', 'Commerce', 'SUST', '2005');
INSERT INTO Education VALUES('413', 'Others', 'Arts', 'DU', '1994');
INSERT INTO Education VALUES('414', 'Ph.D.', 'Arts', 'CUET', '2003');
INSERT INTO Education VALUES('415', 'HSC', 'Engineering', 'SUST', '1998');
INSERT INTO Education VALUES('416', 'Masters', 'MBBS', 'DU', '1997');
INSERT INTO Education VALUES('417', 'Others', 'Commerce', 'DMC', '2002');
INSERT INTO Education VALUES('418', 'HSC', 'Engineering', 'DMC', '1992');
INSERT INTO Education VALUES('419', 'Bachelors', 'Science', 'RUET', '2001');
INSERT INTO Education VALUES('420', 'Masters', 'Arts', 'KUET', '1991');
INSERT INTO Education VALUES('421', 'HSC', 'Science', 'KUET', '1990');
INSERT INTO Education VALUES('422', 'Masters', 'MBBS', 'CUET', '2001');
INSERT INTO Education VALUES('423', 'Others', 'MBBS', 'KUET', '2002');
INSERT INTO Education VALUES('424', 'HSC', 'Commerce', 'CUET', '1998');
INSERT INTO Education VALUES('425', 'Ph.D.', 'Science', 'RUET', '2006');
INSERT INTO Education VALUES('426', 'Masters', 'Engineering', 'CUET', '2001');
INSERT INTO Education VALUES('427', 'Ph.D.', 'Arts', 'KUET', '2005');
INSERT INTO Education VALUES('428', 'Bachelors', 'Commerce', 'BUET', '1995');
INSERT INTO Education VALUES('429', 'SSC', 'Commerce', 'CUET', '1997');
INSERT INTO Education VALUES('430', 'Bachelors', 'Science', 'BUET', '1996');
INSERT INTO Education VALUES('431', 'Ph.D.', 'Arts', 'BUET', '2004');
INSERT INTO Education VALUES('432', 'Bachelors', 'Arts', 'KUET', '1992');
INSERT INTO Education VALUES('433', 'Bachelors', 'Arts', 'SUST', '1989');
INSERT INTO Education VALUES('434', 'Ph.D.', 'Engineering', 'KUET', '1988');
INSERT INTO Education VALUES('435', 'Masters', 'Engineering', 'KUET', '2010');
INSERT INTO Education VALUES('436', 'Masters', 'MBBS', 'KUET', '2000');
INSERT INTO Education VALUES('437', 'HSC', 'Commerce', 'DMC', '1998');
INSERT INTO Education VALUES('438', 'HSC', 'Commerce', 'DMC', '2010');
INSERT INTO Education VALUES('439', 'Others', 'MBBS', 'CUET', '1997');
INSERT INTO Education VALUES('440', 'SSC', 'Engineering', 'RUET', '2003');
INSERT INTO Education VALUES('441', 'Bachelors', 'Arts', 'CUET', '2008');
INSERT INTO Education VALUES('442', 'Masters', 'Arts', 'SUST', '2007');
INSERT INTO Education VALUES('443', 'Masters', 'Engineering', 'SUST', '1996');
INSERT INTO Education VALUES('444', 'Masters', 'Commerce', 'RUET', '2007');
INSERT INTO Education VALUES('445', 'HSC', 'Arts', 'RUET', '2006');
INSERT INTO Education VALUES('446', 'HSC', 'Engineering', 'DU', '1987');
INSERT INTO Education VALUES('447', 'SSC', 'Engineering', 'DU', '1987');
INSERT INTO Education VALUES('448', 'HSC', 'Science', 'RUET', '1988');
INSERT INTO Education VALUES('449', 'Ph.D.', 'MBBS', 'SUST', '1997');
INSERT INTO Education VALUES('450', 'Masters', 'Science', 'BUET', '2003');
INSERT INTO Education VALUES('451', 'Others', 'MBBS', 'DU', '2006');
INSERT INTO Education VALUES('452', 'Bachelors', 'Engineering', 'BUET', '1999');
INSERT INTO Education VALUES('453', 'Others', 'MBBS', 'DMC', '2000');
INSERT INTO Education VALUES('454', 'Bachelors', 'Engineering', 'BUET', '2008');
INSERT INTO Education VALUES('455', 'SSC', 'MBBS', 'DU', '2003');
INSERT INTO Education VALUES('456', 'Ph.D.', 'Science', 'CUET', '1994');
INSERT INTO Education VALUES('457', 'Masters', 'Science', 'RUET', '1987');
INSERT INTO Education VALUES('458', 'Others', 'Engineering', 'RUET', '1999');
INSERT INTO Education VALUES('459', 'Others', 'MBBS', 'RUET', '1998');
INSERT INTO Education VALUES('460', 'HSC', 'MBBS', 'CUET', '2007');
INSERT INTO Education VALUES('461', 'HSC', 'Science', 'BUET', '1992');
INSERT INTO Education VALUES('462', 'HSC', 'MBBS', 'DMC', '1999');
INSERT INTO Education VALUES('463', 'HSC', 'MBBS', 'DU', '1986');
INSERT INTO Education VALUES('464', 'SSC', 'Science', 'BUET', '1985');
INSERT INTO Education VALUES('465', 'SSC', 'Science', 'DMC', '1991');
INSERT INTO Education VALUES('466', 'HSC', 'Engineering', 'DMC', '1986');
INSERT INTO Education VALUES('467', 'Others', 'Arts', 'CUET', '2005');
INSERT INTO Education VALUES('468', 'SSC', 'Science', 'BUET', '1986');
INSERT INTO Education VALUES('469', 'Others', 'Commerce', 'DMC', '1985');
INSERT INTO Education VALUES('470', 'Ph.D.', 'Arts', 'RUET', '2008');
INSERT INTO Education VALUES('471', 'HSC', 'Science', 'CUET', '2001');
INSERT INTO Education VALUES('472', 'Masters', 'Commerce', 'DU', '1996');
INSERT INTO Education VALUES('473', 'SSC', 'Science', 'SUST', '2001');
INSERT INTO Education VALUES('474', 'Others', 'Commerce', 'KUET', '2008');
INSERT INTO Education VALUES('475', 'Bachelors', 'MBBS', 'DMC', '2009');
INSERT INTO Education VALUES('476', 'SSC', 'Science', 'KUET', '1999');
INSERT INTO Education VALUES('477', 'HSC', 'MBBS', 'BUET', '1989');
INSERT INTO Education VALUES('478', 'Bachelors', 'Engineering', 'KUET', '2002');
INSERT INTO Education VALUES('479', 'SSC', 'MBBS', 'DMC', '2002');
INSERT INTO Education VALUES('480', 'Masters', 'Engineering', 'CUET', '1999');
INSERT INTO Education VALUES('481', 'Bachelors', 'Engineering', 'DU', '1996');
INSERT INTO Education VALUES('482', 'Others', 'Engineering', 'SUST', '1993');
INSERT INTO Education VALUES('483', 'Masters', 'MBBS', 'CUET', '2006');
INSERT INTO Education VALUES('484', 'Others', 'MBBS', 'SUST', '1985');
INSERT INTO Education VALUES('485', 'Ph.D.', 'MBBS', 'DU', '1989');
INSERT INTO Education VALUES('486', 'Ph.D.', 'Engineering', 'DU', '1996');
INSERT INTO Education VALUES('487', 'Bachelors', 'Arts', 'BUET', '2010');
INSERT INTO Education VALUES('488', 'Others', 'Science', 'DU', '2004');
INSERT INTO Education VALUES('489', 'HSC', 'MBBS', 'SUST', '2002');
INSERT INTO Education VALUES('490', 'Others', 'MBBS', 'KUET', '2000');
INSERT INTO Education VALUES('491', 'Others', 'Science', 'BUET', '1987');
INSERT INTO Education VALUES('492', 'Bachelors', 'Commerce', 'DMC', '2010');
INSERT INTO Education VALUES('493', 'HSC', 'Arts', 'KUET', '1986');
INSERT INTO Education VALUES('494', 'Others', 'Commerce', 'RUET', '2000');
INSERT INTO Education VALUES('495', 'HSC', 'MBBS', 'DMC', '1992');
INSERT INTO Education VALUES('496', 'Bachelors', 'Commerce', 'KUET', '1995');
INSERT INTO Education VALUES('497', 'Masters', 'Science', 'DMC', '1995');
INSERT INTO Education VALUES('498', 'Others', 'Arts', 'SUST', '1985');
INSERT INTO Education VALUES('499', 'Others', 'Arts', 'SUST', '1986');
INSERT INTO Education VALUES('500', 'SSC', 'Science', 'CUET', '2010');
INSERT INTO Education VALUES('501', 'Ph.D.', 'Commerce', 'CUET', '1997');
INSERT INTO Education VALUES('502', 'Masters', 'Arts', 'DU', '1997');
INSERT INTO Education VALUES('503', 'Others', 'Arts', 'DU', '2007');
INSERT INTO Education VALUES('504', 'Ph.D.', 'Commerce', 'SUST', '1985');
INSERT INTO Education VALUES('505', 'Ph.D.', 'MBBS', 'RUET', '1995');
INSERT INTO Education VALUES('506', 'Masters', 'MBBS', 'SUST', '2000');
INSERT INTO Education VALUES('507', 'Ph.D.', 'Science', 'SUST', '1994');
INSERT INTO Education VALUES('508', 'Others', 'Commerce', 'DMC', '1999');
INSERT INTO Education VALUES('509', 'Masters', 'Commerce', 'DMC', '1996');
INSERT INTO Education VALUES('510', 'Ph.D.', 'Arts', 'SUST', '1988');
INSERT INTO Education VALUES('511', 'Masters', 'Science', 'DU', '1988');
INSERT INTO Education VALUES('512', 'Bachelors', 'Science', 'KUET', '2008');
INSERT INTO Education VALUES('513', 'Masters', 'Science', 'BUET', '1992');
INSERT INTO Education VALUES('514', 'SSC', 'Arts', 'DU', '2003');
INSERT INTO Education VALUES('515', 'Ph.D.', 'Arts', 'DU', '1989');
INSERT INTO Education VALUES('516', 'SSC', 'MBBS', 'RUET', '2007');
INSERT INTO Education VALUES('517', 'SSC', 'Engineering', 'RUET', '2010');
INSERT INTO Education VALUES('518', 'Others', 'Commerce', 'KUET', '1986');
INSERT INTO Education VALUES('519', 'Bachelors', 'Science', 'SUST', '1999');
INSERT INTO Education VALUES('520', 'Others', 'Science', 'KUET', '2008');
INSERT INTO Education VALUES('521', 'SSC', 'MBBS', 'CUET', '2007');
INSERT INTO Education VALUES('522', 'Others', 'Engineering', 'BUET', '2008');
INSERT INTO Education VALUES('523', 'SSC', 'Science', 'DMC', '2007');
INSERT INTO Education VALUES('524', 'Ph.D.', 'Engineering', 'CUET', '2004');
INSERT INTO Education VALUES('525', 'SSC', 'Arts', 'DU', '2003');
INSERT INTO Education VALUES('526', 'HSC', 'Engineering', 'SUST', '1985');
INSERT INTO Education VALUES('527', 'SSC', 'Arts', 'RUET', '1991');
INSERT INTO Education VALUES('528', 'Ph.D.', 'Commerce', 'CUET', '2008');
INSERT INTO Education VALUES('529', 'HSC', 'Commerce', 'KUET', '1994');
INSERT INTO Education VALUES('530', 'Bachelors', 'Science', 'CUET', '1987');
INSERT INTO Education VALUES('531', 'Ph.D.', 'Arts', 'DMC', '1986');
INSERT INTO Education VALUES('532', 'Others', 'Arts', 'BUET', '1995');
INSERT INTO Education VALUES('533', 'SSC', 'Science', 'KUET', '1995');
INSERT INTO Education VALUES('534', 'Ph.D.', 'Arts', 'RUET', '2001');
INSERT INTO Education VALUES('535', 'Bachelors', 'Engineering', 'DMC', '1987');
INSERT INTO Education VALUES('536', 'Masters', 'Commerce', 'DMC', '1996');
INSERT INTO Education VALUES('537', 'Ph.D.', 'Science', 'CUET', '1995');
INSERT INTO Education VALUES('538', 'Bachelors', 'Commerce', 'DU', '1994');
INSERT INTO Education VALUES('539', 'Bachelors', 'Science', 'KUET', '1989');
INSERT INTO Education VALUES('540', 'Masters', 'Commerce', 'DMC', '2010');
INSERT INTO Education VALUES('541', 'Ph.D.', 'Commerce', 'RUET', '1986');
INSERT INTO Education VALUES('542', 'SSC', 'Arts', 'KUET', '2010');
INSERT INTO Education VALUES('543', 'Ph.D.', 'Science', 'SUST', '2010');
INSERT INTO Education VALUES('544', 'Ph.D.', 'Engineering', 'SUST', '1998');
INSERT INTO Education VALUES('545', 'Others', 'Science', 'DU', '1990');
INSERT INTO Education VALUES('546', 'Ph.D.', 'Arts', 'DU', '1998');
INSERT INTO Education VALUES('547', 'Masters', 'Commerce', 'RUET', '2004');
INSERT INTO Education VALUES('548', 'Bachelors', 'MBBS', 'SUST', '2005');
INSERT INTO Education VALUES('549', 'SSC', 'Commerce', 'DMC', '1986');
INSERT INTO Education VALUES('550', 'Masters', 'Commerce', 'BUET', '1992');
INSERT INTO Education VALUES('551', 'Others', 'Science', 'BUET', '1993');
INSERT INTO Education VALUES('552', 'HSC', 'Science', 'KUET', '2005');
INSERT INTO Education VALUES('553', 'HSC', 'Arts', 'RUET', '2003');
INSERT INTO Education VALUES('554', 'Ph.D.', 'Science', 'BUET', '1997');
INSERT INTO Education VALUES('555', 'Bachelors', 'Science', 'KUET', '2002');
INSERT INTO Education VALUES('556', 'Bachelors', 'Science', 'SUST', '1994');
INSERT INTO Education VALUES('557', 'SSC', 'Engineering', 'SUST', '1996');
INSERT INTO Education VALUES('558', 'Ph.D.', 'Commerce', 'CUET', '2008');
INSERT INTO Education VALUES('559', 'Bachelors', 'Engineering', 'DU', '1988');
INSERT INTO Education VALUES('560', 'Masters', 'MBBS', 'KUET', '1989');
INSERT INTO Education VALUES('561', 'Ph.D.', 'Commerce', 'RUET', '2005');
INSERT INTO Education VALUES('562', 'Others', 'Arts', 'CUET', '1986');
INSERT INTO Education VALUES('563', 'HSC', 'Science', 'CUET', '1989');
INSERT INTO Education VALUES('564', 'Others', 'Science', 'KUET', '2007');
INSERT INTO Education VALUES('565', 'Others', 'Arts', 'SUST', '1989');
INSERT INTO Education VALUES('566', 'HSC', 'Arts', 'SUST', '1989');
INSERT INTO Education VALUES('567', 'Masters', 'Arts', 'SUST', '1996');
INSERT INTO Education VALUES('568', 'SSC', 'Commerce', 'KUET', '1997');
INSERT INTO Education VALUES('569', 'Bachelors', 'Science', 'BUET', '1997');
INSERT INTO Education VALUES('570', 'Bachelors', 'Science', 'CUET', '2007');
INSERT INTO Education VALUES('571', 'Others', 'Engineering', 'SUST', '2001');
INSERT INTO Education VALUES('572', 'SSC', 'Commerce', 'BUET', '2001');
INSERT INTO Education VALUES('573', 'Others', 'Engineering', 'DMC', '1996');
INSERT INTO Education VALUES('574', 'HSC', 'Commerce', 'CUET', '1985');
INSERT INTO Education VALUES('575', 'Others', 'MBBS', 'CUET', '2010');
INSERT INTO Education VALUES('576', 'Others', 'Engineering', 'CUET', '2007');
INSERT INTO Education VALUES('577', 'Ph.D.', 'Science', 'KUET', '1988');
INSERT INTO Education VALUES('578', 'Bachelors', 'MBBS', 'KUET', '1997');
INSERT INTO Education VALUES('579', 'SSC', 'Science', 'BUET', '1987');
INSERT INTO Education VALUES('580', 'Masters', 'Commerce', 'DU', '2009');
INSERT INTO Education VALUES('581', 'Others', 'Engineering', 'SUST', '1998');
INSERT INTO Education VALUES('582', 'HSC', 'Commerce', 'RUET', '1987');
INSERT INTO Education VALUES('583', 'HSC', 'Commerce', 'SUST', '2010');
INSERT INTO Education VALUES('584', 'Bachelors', 'Science', 'BUET', '1988');
INSERT INTO Education VALUES('585', 'HSC', 'Science', 'BUET', '1998');
INSERT INTO Education VALUES('586', 'Masters', 'Engineering', 'DU', '2005');
INSERT INTO Education VALUES('587', 'Bachelors', 'MBBS', 'DMC', '2008');
INSERT INTO Education VALUES('588', 'Others', 'Science', 'DU', '2006');
INSERT INTO Education VALUES('589', 'SSC', 'Commerce', 'RUET', '1993');
INSERT INTO Education VALUES('590', 'SSC', 'Science', 'RUET', '1992');
INSERT INTO Education VALUES('591', 'Ph.D.', 'Engineering', 'KUET', '2010');
INSERT INTO Education VALUES('592', 'Ph.D.', 'Arts', 'DMC', '2002');
INSERT INTO Education VALUES('593', 'Others', 'MBBS', 'SUST', '1995');
INSERT INTO Education VALUES('594', 'Masters', 'Engineering', 'KUET', '1986');
INSERT INTO Education VALUES('595', 'HSC', 'MBBS', 'CUET', '2006');
INSERT INTO Education VALUES('596', 'Others', 'MBBS', 'BUET', '1993');
INSERT INTO Education VALUES('597', 'Others', 'Commerce', 'DMC', '2003');
INSERT INTO Education VALUES('598', 'Masters', 'Arts', 'DMC', '2001');
INSERT INTO Education VALUES('599', 'Ph.D.', 'Science', 'KUET', '2009');
INSERT INTO Education VALUES('600', 'SSC', 'Engineering', 'DMC', '1997');
INSERT INTO Education VALUES('601', 'HSC', 'Arts', 'CUET', '1993');
INSERT INTO Education VALUES('602', 'Bachelors', 'Science', 'SUST', '2006');
INSERT INTO Education VALUES('603', 'HSC', 'Commerce', 'KUET', '2004');
INSERT INTO Education VALUES('604', 'Bachelors', 'Science', 'KUET', '2005');
INSERT INTO Education VALUES('605', 'Bachelors', 'Engineering', 'CUET', '1993');
INSERT INTO Education VALUES('606', 'Masters', 'Arts', 'BUET', '2005');
INSERT INTO Education VALUES('607', 'SSC', 'Arts', 'DMC', '2006');
INSERT INTO Education VALUES('608', 'Others', 'MBBS', 'SUST', '1997');
INSERT INTO Education VALUES('609', 'Ph.D.', 'Arts', 'BUET', '2006');
INSERT INTO Education VALUES('610', 'SSC', 'MBBS', 'BUET', '1989');
INSERT INTO Education VALUES('611', 'Bachelors', 'Arts', 'DU', '2006');
INSERT INTO Education VALUES('612', 'Masters', 'Science', 'DU', '2006');
INSERT INTO Education VALUES('613', 'Bachelors', 'Engineering', 'CUET', '1995');
INSERT INTO Education VALUES('614', 'Bachelors', 'Engineering', 'SUST', '1987');
INSERT INTO Education VALUES('615', 'Masters', 'Engineering', 'DU', '2000');
INSERT INTO Education VALUES('616', 'Bachelors', 'Arts', 'RUET', '1998');
INSERT INTO Education VALUES('617', 'Others', 'Arts', 'SUST', '2007');
INSERT INTO Education VALUES('618', 'Bachelors', 'Arts', 'KUET', '2001');
INSERT INTO Education VALUES('619', 'Bachelors', 'Commerce', 'CUET', '1994');
INSERT INTO Education VALUES('620', 'Masters', 'Science', 'BUET', '2001');
INSERT INTO Education VALUES('621', 'Masters', 'MBBS', 'BUET', '1992');
INSERT INTO Education VALUES('622', 'Ph.D.', 'Commerce', 'CUET', '1990');
INSERT INTO Education VALUES('623', 'SSC', 'Science', 'KUET', '2004');
INSERT INTO Education VALUES('624', 'Others', 'MBBS', 'DMC', '2000');
INSERT INTO Education VALUES('625', 'Masters', 'Science', 'CUET', '1989');
INSERT INTO Education VALUES('626', 'Ph.D.', 'Engineering', 'SUST', '2004');
INSERT INTO Education VALUES('627', 'Masters', 'Commerce', 'DMC', '2006');
INSERT INTO Education VALUES('628', 'SSC', 'MBBS', 'CUET', '2010');
INSERT INTO Education VALUES('629', 'Masters', 'Science', 'KUET', '1996');
INSERT INTO Education VALUES('630', 'Bachelors', 'Arts', 'DMC', '2003');
INSERT INTO Education VALUES('631', 'Others', 'Arts', 'KUET', '1988');
INSERT INTO Education VALUES('632', 'HSC', 'Science', 'RUET', '1999');
INSERT INTO Education VALUES('633', 'Others', 'Science', 'SUST', '1990');
INSERT INTO Education VALUES('634', 'Ph.D.', 'Engineering', 'BUET', '1993');
INSERT INTO Education VALUES('635', 'HSC', 'Science', 'DMC', '2010');
INSERT INTO Education VALUES('636', 'HSC', 'Commerce', 'CUET', '2000');
INSERT INTO Education VALUES('637', 'Ph.D.', 'Science', 'DU', '1987');
INSERT INTO Education VALUES('638', 'Others', 'MBBS', 'DMC', '1999');
INSERT INTO Education VALUES('639', 'Others', 'Commerce', 'BUET', '2006');
INSERT INTO Education VALUES('640', 'SSC', 'Arts', 'CUET', '1989');
INSERT INTO Education VALUES('641', 'HSC', 'Commerce', 'KUET', '1988');
INSERT INTO Education VALUES('642', 'Bachelors', 'Engineering', 'RUET', '1994');
INSERT INTO Education VALUES('643', 'HSC', 'MBBS', 'KUET', '2009');
INSERT INTO Education VALUES('644', 'Ph.D.', 'Science', 'SUST', '1995');
INSERT INTO Education VALUES('645', 'Masters', 'Arts', 'CUET', '1986');
INSERT INTO Education VALUES('646', 'HSC', 'Engineering', 'RUET', '2003');
INSERT INTO Education VALUES('647', 'Others', 'MBBS', 'DU', '1998');
INSERT INTO Education VALUES('648', 'Bachelors', 'Commerce', 'DU', '2010');
INSERT INTO Education VALUES('649', 'HSC', 'Arts', 'SUST', '2006');
INSERT INTO Education VALUES('650', 'HSC', 'Commerce', 'DMC', '1997');
INSERT INTO Education VALUES('651', 'SSC', 'Commerce', 'SUST', '2005');
INSERT INTO Education VALUES('652', 'Bachelors', 'Science', 'KUET', '2007');
INSERT INTO Education VALUES('653', 'SSC', 'Engineering', 'BUET', '2001');
INSERT INTO Education VALUES('654', 'Others', 'Engineering', 'DMC', '1996');
INSERT INTO Education VALUES('655', 'Bachelors', 'MBBS', 'BUET', '1990');
INSERT INTO Education VALUES('656', 'Others', 'Arts', 'DU', '1996');
INSERT INTO Education VALUES('657', 'Bachelors', 'Commerce', 'DU', '1998');
INSERT INTO Education VALUES('658', 'Ph.D.', 'Engineering', 'BUET', '1995');
INSERT INTO Education VALUES('659', 'SSC', 'Commerce', 'SUST', '2010');
INSERT INTO Education VALUES('660', 'Masters', 'Science', 'KUET', '1987');
INSERT INTO Education VALUES('661', 'Masters', 'Arts', 'CUET', '2001');
INSERT INTO Education VALUES('662', 'SSC', 'Science', 'SUST', '2001');
INSERT INTO Education VALUES('663', 'HSC', 'MBBS', 'RUET', '1993');
INSERT INTO Education VALUES('664', 'Bachelors', 'Commerce', 'KUET', '2003');
INSERT INTO Education VALUES('665', 'Ph.D.', 'Engineering', 'DMC', '1998');
INSERT INTO Education VALUES('666', 'Masters', 'Science', 'RUET', '1994');
INSERT INTO Education VALUES('667', 'SSC', 'Science', 'CUET', '1993');
INSERT INTO Education VALUES('668', 'Bachelors', 'Science', 'KUET', '2003');
INSERT INTO Education VALUES('669', 'Others', 'Commerce', 'RUET', '1991');
INSERT INTO Education VALUES('670', 'Bachelors', 'Engineering', 'KUET', '2008');
INSERT INTO Education VALUES('671', 'Others', 'Arts', 'BUET', '1998');
INSERT INTO Education VALUES('672', 'Ph.D.', 'Science', 'BUET', '2009');
INSERT INTO Education VALUES('673', 'Ph.D.', 'Commerce', 'DU', '1996');
INSERT INTO Education VALUES('674', 'Masters', 'Science', 'DMC', '2006');
INSERT INTO Education VALUES('675', 'HSC', 'Engineering', 'RUET', '2000');
INSERT INTO Education VALUES('676', 'Masters', 'Engineering', 'KUET', '1996');
INSERT INTO Education VALUES('677', 'SSC', 'MBBS', 'RUET', '2005');
INSERT INTO Education VALUES('678', 'Ph.D.', 'MBBS', 'KUET', '2005');
INSERT INTO Education VALUES('679', 'Masters', 'MBBS', 'SUST', '2007');
INSERT INTO Education VALUES('680', 'HSC', 'Arts', 'RUET', '2007');
INSERT INTO Education VALUES('681', 'HSC', 'Arts', 'CUET', '1996');
INSERT INTO Education VALUES('682', 'Others', 'MBBS', 'RUET', '1995');
INSERT INTO Education VALUES('683', 'Bachelors', 'Commerce', 'KUET', '2005');
INSERT INTO Education VALUES('684', 'Masters', 'Arts', 'CUET', '1993');
INSERT INTO Education VALUES('685', 'HSC', 'Commerce', 'SUST', '1993');
INSERT INTO Education VALUES('686', 'Ph.D.', 'Arts', 'RUET', '1994');
INSERT INTO Education VALUES('687', 'HSC', 'Arts', 'DU', '2003');
INSERT INTO Education VALUES('688', 'HSC', 'Science', 'DU', '1992');
INSERT INTO Education VALUES('689', 'SSC', 'Arts', 'DMC', '1985');
INSERT INTO Education VALUES('690', 'Ph.D.', 'Science', 'BUET', '1987');
INSERT INTO Education VALUES('691', 'HSC', 'Engineering', 'RUET', '2000');
INSERT INTO Education VALUES('692', 'SSC', 'Science', 'SUST', '1989');
INSERT INTO Education VALUES('693', 'Ph.D.', 'Commerce', 'DMC', '2002');
INSERT INTO Education VALUES('694', 'SSC', 'Commerce', 'DMC', '2008');
INSERT INTO Education VALUES('695', 'SSC', 'Commerce', 'SUST', '1996');
INSERT INTO Education VALUES('696', 'HSC', 'Engineering', 'CUET', '1993');
INSERT INTO Education VALUES('697', 'Ph.D.', 'Engineering', 'DMC', '2005');
INSERT INTO Education VALUES('698', 'HSC', 'Science', 'BUET', '1991');
INSERT INTO Education VALUES('699', 'Masters', 'Commerce', 'SUST', '1997');
INSERT INTO Education VALUES('700', 'SSC', 'Engineering', 'RUET', '1988');
